Date,IDX
2007-09-28,110.32564544677734
2007-10-01,111.56930541992188
2007-10-02,111.41742706298828
2007-10-03,111.19332122802734
2007-10-04,111.36683654785156
2007-10-05,112.69009399414062
2007-10-08,112.08990478515625
2007-10-09,113.14559936523438
2007-10-10,112.9576416015625
2007-10-11,112.41531372070312
2007-10-12,113.03717041015625
2007-10-15,112.08273315429688
2007-10-16,111.19332122802734
2007-10-17,111.53311157226562
2007-10-18,111.12821197509766
2007-10-19,108.22151184082031
2007-10-22,108.85054779052734
2007-10-23,109.73270416259766
2007-10-24,109.53023529052734
2007-10-25,109.79058074951172
2007-10-26,111.07759857177734
2007-10-29,111.44637298583984
2007-10-30,110.67274475097656
2007-10-31,111.82238006591797
2007-11-01,109.2048110961914
2007-11-02,109.32780456542969
2007-11-05,108.49623107910156
